Tribal_Penitent_Pigskin,4,Town_Guard_Yttakin,2,1
Town_Guard_Sanguophage,2,Tribal_Penitent_XylTrog,6,-1
Mercenary_Slasher_Baseliner,13,Scavenger_Genie,38,-1
Grenadier_Destructive_Hussar,5,Tribal_Penitent_Dirtmole,13,-1
Tribal_Berserker_XylTrog,2,Grenadier_Destructive_Highmate,3,1
Tribal_Berserker_Yttakin,1,Scavenger_XylNixie,2,-1
Grenadier_Destructive_Baseliner,20,Tribal_Penitent_Neanderthal,21,-1
Tribal_Berserker_XylWarcat,3,Tribal_Berserker_Baseliner,6,-1
Tribal_Berserker_Dirtmole,1,Tribal_Archer_Baseliner,3,1
Tribal_Penitent_XylTitan,12,Tribal_Berserker_XylTitan,7,-1
Tribal_Berserker_Hussar,4,Villager_XylWarcat,4,1
Mercenary_Gunner_Baseliner,2,Tribal_Berserker_XylBossaps,2,-1
Tribal_Penitent_Starjack,25,Tribal_Berserker_Neanderthal,10,-1
Tribal_Penitent_XylChyrr,26,Villager_Yttakin,28,-1
Scavenger_Waster,4,Tribal_Berserker_XylWarcat,1,1
Tribal_Berserker_XylTrog,6,Town_Guard_XylTitan,4,1
Villager_Neanderthal,2,Mercenary_Gunner_Genie,2,1
Scavenger_XylTrog,13,Grenadier_Destructive_Baseliner,11,-1
Town_Guard_Highmate,5,Mercenary_Gunner_Pigskin,3,-1
Scavenger_XylChyrr,27,Villager_XylChyrr,30,1
Mercenary_Sniper_Starjack,2,Town_Guard_Impid,3,1
Scavenger_Sanguophage,2,Tribal_Penitent_Pigskin,6,-1
Mercenary_Gunner_Starjack,16,Mercenary_Slasher_Starjack,9,1
Town_Guard_Yttakin,3,Tribal_Archer_Sanguophage,2,1
Tribal_Archer_Baseliner,33,Tribal_Berserker_XylNixie,23,1
Grenadier_Destructive_Highmate,2,Tribal_Penitent_Starjack,3,-1
Villager_XylTitan,3,Town_Guard_XylWarcat,2,1
Mercenary_Sniper_Sanguophage,2,Scavenger_Impid,8,-1
Grenadier_Destructive_Starjack,2,Villager_Hussar,2,1
Town_Guard_XylBossaps,2,Grenadier_Destructive_XylTitan,1,1
Mercenary_Slasher_XylDvergr,5,Tribal_Penitent_XylNixie,17,-1
Grenadier_Destructive_Neanderthal,3,Mercenary_Slasher_XylTrog,3,1
Villager_Starjack,5,Mercenary_Slasher_Yttakin,2,-1
Mercenary_Slasher_Yttakin,2,Tribal_Penitent_Highmate,9,-1
Scavenger_XylBossaps,2,Mercenary_Slasher_Highmate,1,1
Mercenary_Slasher_Dirtmole,1,Mercenary_Sniper_Dirtmole,2,-1
Tribal_Archer_Pigskin,12,Tribal_Berserker_Yttakin,6,1
Mercenary_Slasher_Yttakin,6,Tribal_Berserker_Genie,17,-1
Scavenger_Highmate,3,Tribal_Berserker_Baseliner,1,1
Mercenary_Slasher_XylChyrr,2,Grenadier_Destructive_XylNixie,9,-1
Mercenary_Gunner_XylWarcat,8,Tribal_Penitent_Neanderthal,17,-1
Tribal_Penitent_XylTrog,13,Mercenary_Slasher_Waster,4,1
Mercenary_Sniper_Waster,4,Villager_XylWarcat,6,-1
Tribal_Archer_XylDvergr,2,Scavenger_Waster,2,1
Tribal_Penitent_Yttakin,5,Mercenary_Sniper_Baseliner,3,1
Grenadier_Destructive_Neanderthal,7,Scavenger_Dirtmole,17,-1
Mercenary_Slasher_Highmate,14,Tribal_Archer_XylWarcat,19,-1
